SeatType,OverallRating
Economy Class,0.9
Business Class,2.6
Economy Class,3.6
Economy Class,2.7
Premium Economy,4.9
First Class,3.2
Economy Class,3.5
Economy Class,1.1
Premium Economy,3.4
Economy Class,0.6
Premium Economy,0.9
Business Class,1.6
Economy Class,1.1
Premium Economy,6.0
Business Class,1.0
Business Class,4.1
Business Class,4.5
Premium Economy,9.8
Business Class,4.5
Economy Class,1.2
Business Class,10.0
Economy Class,1.8
Business Class,9.4
Business Class,10.0
Business Class,9.0
Business Class,8.5
Business Class,5.5
Economy Class,1.0
Economy Class,3.4
Business Class,5.1
Economy Class,9.4
Business Class,0.3
Economy Class,2.1
Economy Class,1.6
Business Class,0.3
Business Class,3.9
Business Class,6.2
Business Class,8.6
Business Class,8.1
Economy Class,2.4
Economy Class,9.0
First Class,8.1
Business Class,2.8
Business Class,5.1
Business Class,1.9
Business Class,3.4
Business Class,1.2
Business Class,3.3
Business Class,5.9
Business Class,7.7
Business Class,0.8
Business Class,5.4
Economy Class,1.3
Economy Class,1.4
Economy Class,1.7
Economy Class,3.4
Economy Class,9.1
Business Class,5.4
Business Class,10.0
Premium Economy,9.1
Economy Class,6.4
Economy Class,7.6
Business Class,8.6
Economy Class,9.5
Premium Economy,5.2
Business Class,9.5
Business Class,0.8
Economy Class,2.6
Business Class,7.9
Economy Class,8.8
Economy Class,0.2
Business Class,1.9
Business Class,2.9
Business Class,7.1
Business Class,8.2
Economy Class,2.9
Economy Class,0.0
Economy Class,0.2
Economy Class,4.6
Economy Class,10.0
Economy Class,7.3
Business Class,1.9
Business Class,6.1
Business Class,7.1
Business Class,6.8
Business Class,8.0
Economy Class,9.3
Economy Class,9.9
Economy Class,5.1
Economy Class,4.6
Economy Class,0.7
Economy Class,1.4
Economy Class,10.0
First Class,3.6
Economy Class,8.1
Premium Economy,4.9
Business Class,6.8
Economy Class,3.8
Economy Class,9.9
Economy Class,9.3
Economy Class,4.5
Business Class,9.5
Economy Class,0.1
Economy Class,0.7
Economy Class,2.3
Economy Class,9.2
Premium Economy,1.8
Economy Class,0.8
Business Class,10.0
Business Class,7.6
Economy Class,0.3
Economy Class,0.7
Business Class,2.3
Premium Economy,10.0
Business Class,1.8
Business Class,1.8
Economy Class,3.5
Economy Class,7.1
Economy Class,8.8
Economy Class,8.5
Economy Class,1.8
Economy Class,3.1
Premium Economy,10.0
First Class,6.8
Premium Economy,0.7
Business Class,3.7
Economy Class,1.6
Business Class,3.7
Economy Class,8.4
Business Class,8.1
Economy Class,1.0
Business Class,2.6
Business Class,6.8
Business Class,2.3
Business Class,4.3
Business Class,8.0
Economy Class,9.5
Business Class,7.3
Economy Class,5.8
Economy Class,6.3
Economy Class,0.7
Economy Class,7.9
First Class,8.5
Economy Class,3.1
Business Class,1.6
Economy Class,8.0
Economy Class,9.0
Economy Class,2.2
Business Class,6.7
Business Class,1.6
Business Class,8.1
Economy Class,7.9
Business Class,0.6
Premium Economy,2.4
Business Class,9.6
Business Class,10.0
Business Class,2.6
Business Class,9.8
Economy Class,0.9
Economy Class,2.1
Business Class,4.2
Business Class,2.0
Economy Class,1.4
Business Class,8.1
Economy Class,2.5
Economy Class,0.0
Economy Class,6.0
Economy Class,7.4
Economy Class,8.2
Business Class,7.8
Business Class,9.4
Economy Class,4.1
Economy Class,0.9
Economy Class,1.8
Business Class,9.3
Economy Class,0.6
Business Class,8.9
Business Class,7.4
Economy Class,1.8
Business Class,7.8
First Class,9.6
Business Class,7.5
Economy Class,8.6
Business Class,2.0
Business Class,3.7
Business Class,5.2
Economy Class,0.5
Business Class,7.4
Premium Economy,2.6
Economy Class,10.0
Economy Class,9.6
Economy Class,4.0
Economy Class,4.2
Business Class,1.6
Economy Class,1.3
Business Class,10.0
Economy Class,1.6
Economy Class,1.2
Business Class,2.9
Economy Class,9.7
Economy Class,9.2
Economy Class,9.2
Economy Class,2.1
Business Class,8.1
Business Class,9.7
Business Class,5.1
Economy Class,4.4
Economy Class,7.2
Economy Class,9.8
Economy Class,1.2
Business Class,9.0
Business Class,9.8
Economy Class,0.9
Economy Class,0.2
Economy Class,9.1
Business Class,2.9
Premium Economy,0.6
Premium Economy,2.7
Business Class,9.0
Economy Class,8.5
Economy Class,1.5
Premium Economy,1.5
Economy Class,8.1
Economy Class,8.3
Premium Economy,3.5
Economy Class,9.6
Economy Class,1.3
Business Class,10.0
Economy Class,0.8
Economy Class,9.0
Economy Class,5.2
Economy Class,10.0
Business Class,7.5
Premium Economy,7.8
Premium Economy,1.2
Business Class,5.1
Business Class,3.2
Premium Economy,9.4
Business Class,8.2
Economy Class,1.7
Business Class,9.2
Economy Class,8.0
Economy Class,3.3
Business Class,3.2
Premium Economy,5.1
Business Class,5.2
Business Class,1.6
Economy Class,4.7
Economy Class,3.6
Business Class,9.6
Business Class,1.9
Business Class,3.6
Business Class,8.6
Economy Class,1.9
Economy Class,7.6
Business Class,2.1
Premium Economy,3.6
Business Class,2.5
Economy Class,10.0
Economy Class,9.3
Business Class,2.2
Economy Class,9.8
Business Class,6.2
Economy Class,6.0
Business Class,9.8
Premium Economy,1.6
Economy Class,9.1
Economy Class,1.8
Business Class,1.0
Economy Class,10.0
Business Class,2.0
Business Class,2.5
Economy Class,0.7
Economy Class,1.9
Business Class,1.7
Economy Class,1.0
Economy Class,3.3
Economy Class,9.9
Economy Class,6.9
Premium Economy,2.9
Business Class,2.7
Economy Class,5.9
Economy Class,5.4
Economy Class,8.5
Economy Class,5.9
Premium Economy,10.0
Economy Class,8.9
Business Class,8.8
Business Class,2.5
Business Class,1.9
Premium Economy,7.4
Business Class,1.6
Economy Class,0.6
Economy Class,1.5
Economy Class,2.2
Economy Class,2.4
Economy Class,10.0
Economy Class,0.9
Economy Class,9.4
Economy Class,1.0
Economy Class,6.5
Economy Class,10.0
Business Class,10.0
Business Class,9.6
Economy Class,5.1
Economy Class,7.6
Economy Class,5.0
Economy Class,4.2
Economy Class,6.3
Business Class,0.5
Economy Class,7.6
Economy Class,3.6
Business Class,0.4
Economy Class,2.5
Economy Class,3.6
Economy Class,2.8
Economy Class,5.3
Business Class,0.1
First Class,9.1
Economy Class,0.1
Economy Class,5.3
First Class,7.5
Economy Class,10.0
Economy Class,5.3
Economy Class,8.7
Business Class,9.2
Business Class,9.2
Business Class,6.2
Economy Class,0.4
Economy Class,5.6
Economy Class,3.4
Business Class,4.3
Economy Class,4.0
Economy Class,3.4
Economy Class,3.3
Business Class,9.4
Economy Class,8.4
Economy Class,5.1
First Class,7.4
Economy Class,8.0
Premium Economy,0.1
Business Class,2.2
Economy Class,9.7
Business Class,1.5
First Class,7.5
Economy Class,10.0
Business Class,1.7
Economy Class,1.6
Economy Class,8.7
Business Class,9.3
Business Class,8.2
Economy Class,2.3
Business Class,3.7
Economy Class,9.0
Economy Class,7.7
Business Class,3.1
Business Class,10.0
Business Class,4.5
Business Class,6.4
Economy Class,9.1
Business Class,1.0
Economy Class,4.2
Economy Class,5.6
First Class,10.0
Business Class,3.4
Economy Class,1.3
Economy Class,0.8
Economy Class,1.8
Economy Class,2.4
Business Class,6.2
Business Class,9.9
Economy Class,6.6
First Class,7.4
First Class,2.8
Economy Class,5.8
First Class,0.7
Economy Class,2.6
Economy Class,0.0
Business Class,8.1
Economy Class,2.1
Economy Class,8.6
Economy Class,1.6
Business Class,1.7
Economy Class,9.9
Business Class,5.0
Economy Class,3.8
Economy Class,3.2
Economy Class,10.0
Economy Class,1.2
Business Class,2.9
Business Class,0.0
First Class,1.1
Business Class,1.3
Economy Class,5.8
Premium Economy,9.1
Premium Economy,7.1
Premium Economy,10.0
Business Class,5.7
Economy Class,9.3
Economy Class,3.1
Economy Class,2.3
First Class,3.4
Economy Class,1.8
Economy Class,1.6
Premium Economy,9.2
Business Class,6.4
First Class,9.4
Premium Economy,1.5
Business Class,1.6
Economy Class,7.2
Business Class,6.3
Economy Class,0.0
Economy Class,5.0
Economy Class,6.9
Economy Class,3.4
Economy Class,1.6
First Class,5.5
Business Class,7.1
Business Class,8.4
Business Class,8.3
Premium Economy,1.8
Business Class,1.5
Premium Economy,1.4
Economy Class,1.4
Business Class,2.4
Premium Economy,6.2
Premium Economy,5.0
Premium Economy,2.3
Economy Class,0.4
Economy Class,2.1
Economy Class,9.7
Economy Class,0.8
Economy Class,3.1
Economy Class,4.0
Economy Class,6.5
Economy Class,4.1
Economy Class,9.7
Premium Economy,7.8
Economy Class,9.2
Premium Economy,3.0
Economy Class,3.4
Economy Class,6.5
Business Class,1.1
Economy Class,0.3
Economy Class,4.0
First Class,5.6
First Class,9.0
Economy Class,4.6
Business Class,1.8
Economy Class,7.8
Business Class,1.5
First Class,6.9
Business Class,1.3
First Class,0.2
Business Class,1.3
Economy Class,10.0
Economy Class,0.4
Economy Class,7.8
Premium Economy,3.8
Business Class,8.2
Economy Class,2.4
First Class,8.3
Business Class,2.2
Economy Class,7.8
Economy Class,0.5
Premium Economy,3.2
Economy Class,7.5
Business Class,4.7
Economy Class,1.9
Business Class,1.8
Economy Class,1.6
Economy Class,7.4
Business Class,3.6
Economy Class,2.3
Business Class,0.5
Business Class,8.1
Economy Class,8.4
Business Class,3.7
Business Class,7.5
Economy Class,1.5
First Class,8.9
Economy Class,0.4
Economy Class,2.0
Business Class,3.3
Business Class,8.7
Business Class,2.5
Premium Economy,4.2
Business Class,2.0
First Class,0.1
Economy Class,10.0
Economy Class,8.2
Business Class,6.3
Premium Economy,6.2
Business Class,5.5
Business Class,3.0
Premium Economy,1.2
Premium Economy,9.7
Economy Class,6.3
Business Class,5.8
First Class,8.1
Business Class,7.6
Business Class,3.5
Economy Class,3.1
Premium Economy,6.4
Business Class,10.0
Business Class,0.9
Economy Class,1.2
Economy Class,3.1
Economy Class,6.5
Business Class,3.9
First Class,9.7
Premium Economy,3.6
Economy Class,0.7
Business Class,5.3
Business Class,0.2
Premium Economy,7.3
Business Class,8.0
Economy Class,10.0
Economy Class,7.0
Economy Class,8.0
First Class,6.8
Economy Class,0.8
Business Class,5.3
Business Class,7.1
Business Class,4.9
Premium Economy,8.2
Business Class,8.5
Economy Class,7.3
Business Class,1.9
Economy Class,2.8
Economy Class,4.6
Economy Class,2.5
Business Class,1.3
Premium Economy,8.4
Business Class,6.7
Business Class,6.3
First Class,5.4
Business Class,0.2
Business Class,8.7
Business Class,7.0
Economy Class,5.9
Premium Economy,2.7
Economy Class,2.0
Business Class,10.0
Economy Class,2.0
Business Class,3.5
Economy Class,1.6
First Class,4.2
Economy Class,1.8
Economy Class,1.5
Economy Class,0.9
Business Class,1.6
Premium Economy,7.4
Business Class,6.3
Premium Economy,6.7
Business Class,4.1
Business Class,10.0
First Class,3.5
Business Class,3.5
Economy Class,3.3
Premium Economy,1.4
Economy Class,3.3
Economy Class,6.9
Economy Class,4.3
Business Class,0.3
Premium Economy,1.8
Economy Class,3.6
Business Class,4.8
Premium Economy,7.8
Economy Class,10.0
First Class,3.0
Business Class,7.0
Economy Class,2.1
Business Class,2.3
Business Class,9.7
Economy Class,0.7
First Class,6.8
First Class,4.2
Economy Class,2.8
Business Class,1.5
First Class,9.8
Economy Class,8.4
Premium Economy,1.1
Economy Class,3.2
Economy Class,4.4
Business Class,9.2
Economy Class,6.1
Economy Class,7.1
Business Class,3.1
Economy Class,4.6
First Class,3.9
Economy Class,8.8
Economy Class,1.3
Economy Class,4.1
Business Class,5.6
Economy Class,2.8
Business Class,7.7
Economy Class,9.2
Economy Class,8.6
Economy Class,4.8
Business Class,4.8
Business Class,7.1
Premium Economy,3.5
Business Class,6.6
Premium Economy,2.5
Business Class,8.7
Business Class,3.9
Economy Class,1.5
Business Class,7.9
Business Class,0.3
Business Class,0.2
Business Class,3.5
Business Class,1.7
Economy Class,8.2
Economy Class,3.8
Economy Class,4.6
Business Class,3.8
Economy Class,2.0
Economy Class,4.9
Premium Economy,4.6
Economy Class,4.0
Premium Economy,10.0
Business Class,1.6
Business Class,5.3
Business Class,6.8
Economy Class,9.4
Economy Class,6.2
First Class,6.9
Economy Class,1.3
Business Class,4.3
Economy Class,2.3
Business Class,8.0
Business Class,10.0
Economy Class,10.0
Economy Class,3.7
Business Class,1.7
Business Class,6.3
Business Class,5.6
Economy Class,1.8
Economy Class,3.2
First Class,3.0
Economy Class,7.5
Business Class,7.0
Economy Class,5.8
Premium Economy,0.7
Business Class,1.2
Economy Class,6.8
Business Class,0.5
Premium Economy,9.0
First Class,1.0
Business Class,1.7
Economy Class,7.7
Business Class,1.2
Economy Class,2.6
Business Class,2.5
Economy Class,5.4
Economy Class,0.8
Business Class,7.3
Business Class,7.3
Economy Class,1.3
Economy Class,10.0
Business Class,7.1
Premium Economy,1.3
Economy Class,8.4
Economy Class,3.7
Economy Class,7.5
Business Class,7.2
Business Class,1.8
Business Class,0.6
Economy Class,1.1
Economy Class,4.7
Business Class,6.7
Economy Class,2.6
Business Class,0.8
Business Class,8.1
Business Class,9.6
Business Class,9.7
Business Class,1.6
Economy Class,5.4
Economy Class,0.0
Economy Class,8.9
Economy Class,7.9
First Class,10.0
First Class,8.4
Economy Class,0.9
Business Class,2.2
Economy Class,0.0
Economy Class,7.9
Business Class,0.6
Premium Economy,3.3
First Class,8.5
Business Class,1.4
Economy Class,1.3
Economy Class,7.2
Business Class,3.2
Premium Economy,6.3
Economy Class,1.9
First Class,0.4
Economy Class,0.3
Economy Class,3.1
Economy Class,1.3
Economy Class,1.6
Economy Class,0.7
Premium Economy,7.3
Premium Economy,8.0
Economy Class,2.7
First Class,2.8
First Class,1.5
First Class,2.7
Business Class,3.5
Business Class,7.7
Economy Class,1.9
Business Class,9.4
Economy Class,10.0
Business Class,2.9
Business Class,4.7
Business Class,4.3
Economy Class,2.9
Economy Class,1.3
Economy Class,2.8
Business Class,1.7
First Class,9.5
Premium Economy,5.3
First Class,6.6
Business Class,6.2
Economy Class,6.1
Economy Class,5.5
Economy Class,1.4
Economy Class,0.3
Business Class,7.4
Economy Class,2.0
Business Class,5.5
Business Class,5.4
Economy Class,1.1
Business Class,4.3
Business Class,7.1
Business Class,1.5
Economy Class,1.2
Economy Class,2.3
Business Class,5.6
Business Class,3.1
Business Class,0.8
Business Class,1.1
Economy Class,1.9
Economy Class,0.5
Economy Class,0.4
Business Class,1.3
Business Class,7.8
Premium Economy,2.1
Economy Class,3.5
Business Class,2.2
First Class,4.7
Economy Class,7.2
Economy Class,6.0
Business Class,1.1
Economy Class,3.0
Business Class,7.4
Economy Class,2.8
Economy Class,3.1
Economy Class,2.2
Economy Class,7.5
Economy Class,4.7
Business Class,2.0
First Class,0.5
Economy Class,9.4
Business Class,7.3
Economy Class,1.8
Economy Class,1.6
Economy Class,2.5
Economy Class,7.1
Business Class,10.0
Business Class,10.0
Economy Class,0.4
Business Class,2.2
Premium Economy,2.5
Business Class,8.0
Economy Class,2.9
Economy Class,4.1
Business Class,1.8
Economy Class,9.2
Economy Class,5.6
Business Class,6.4
Economy Class,2.7
Premium Economy,7.4
Economy Class,5.2
Economy Class,6.6
Business Class,1.6
Business Class,3.7
Business Class,2.4
Economy Class,9.3
First Class,0.6
Economy Class,7.0
Economy Class,8.6
Business Class,5.6
Economy Class,3.1
Economy Class,2.6
Economy Class,1.5
Premium Economy,6.6
Economy Class,1.0
Business Class,5.3
Business Class,3.9
Business Class,3.1
Economy Class,8.7
Economy Class,1.9
Business Class,7.7
Economy Class,8.3
Business Class,8.6
Business Class,9.0
Economy Class,7.7
Economy Class,7.0
Business Class,1.7
Business Class,1.9
Business Class,4.0
Economy Class,4.3
Economy Class,4.1
Economy Class,6.7
Business Class,8.5
Economy Class,2.1
Economy Class,9.8
Economy Class,2.3
Economy Class,0.9
Economy Class,2.1
First Class,2.8
Business Class,2.6
Economy Class,9.4
Economy Class,2.9
Economy Class,1.1
Business Class,1.6
Business Class,4.1
Economy Class,1.8
Business Class,2.5
Business Class,1.7
Premium Economy,8.6
Business Class,3.3
Economy Class,2.4
Business Class,2.8
Economy Class,2.9
Economy Class,0.2
Economy Class,1.1
Economy Class,2.3
Premium Economy,2.7
Economy Class,1.4
Business Class,0.0
Economy Class,3.7
Business Class,1.8
Business Class,7.1
Economy Class,0.5
Economy Class,2.0
Economy Class,1.7
Economy Class,9.2
Economy Class,0.2
Economy Class,2.6
Economy Class,7.7
Economy Class,1.3
Economy Class,0.3
Business Class,4.8
Economy Class,4.5
Business Class,0.1
Economy Class,3.8
Economy Class,6.4
Business Class,4.0
Economy Class,1.8
Business Class,5.2
Business Class,1.9
Economy Class,5.3
Economy Class,2.6
Economy Class,8.9
Business Class,2.5
Business Class,1.9
Economy Class,3.4
Business Class,7.6
Economy Class,8.5
Economy Class,8.5
Economy Class,4.7
Business Class,6.3
Economy Class,1.6
Premium Economy,2.1
Economy Class,6.5
Economy Class,1.7
Economy Class,1.3
Economy Class,1.7
Business Class,1.0
Economy Class,6.6
Economy Class,0.4
First Class,10.0
Business Class,1.1
Economy Class,0.6
Economy Class,2.7
Economy Class,0.3
Business Class,2.5
Business Class,4.9
Business Class,1.3
Economy Class,5.9
Premium Economy,8.1
Economy Class,6.8
Premium Economy,3.3
Premium Economy,2.0
Economy Class,1.6
Premium Economy,3.3
Business Class,1.3
Premium Economy,6.2
Business Class,5.8
Business Class,2.1
Business Class,8.0
Premium Economy,0.8
Business Class,2.3
Business Class,7.3
Economy Class,1.5
Business Class,1.3
Premium Economy,0.3
Economy Class,0.4
Premium Economy,0.6
Economy Class,2.8
Premium Economy,3.2
Premium Economy,6.8
First Class,1.9
Business Class,3.6
Premium Economy,3.4
Economy Class,1.8
Economy Class,0.9
Business Class,3.7
Economy Class,0.4
Premium Economy,10.0
Business Class,1.8
Economy Class,1.6
Business Class,1.5
First Class,1.7
Business Class,2.7
Economy Class,3.4
Business Class,2.6
Business Class,3.5
Business Class,6.8
Business Class,5.7
Economy Class,4.0
